MFR,Model,EmissionsRate,FinalSales,FPT,Type
AML,ASTON MARTIN,523.3003192,393,46.75,car
AML,ASTON MARTIN,568.768,244,46.75,car
AML,ASTON MARTIN,522.5464659,65,46.75,car
AML,ASTON MARTIN,568.768,39,46.75,car
AML,ASTON MARTIN,447.7664581,447,46.75,car
AML,ASTON MARTIN,500.1209925,135,46.75,car
BMW,ROLLS ROYCE,513.699422,173,56.375,car
BMW,ROLLS ROYCE,513.699422,132,56.375,car
BMW,ROLLS ROYCE,513.699422,104,56.375,car
BMW,M5,541.8902439,221,48.58333333,car
BMW,M5,545.2147239,43,48.58333333,car
BMW,X5,442.1393035,5256,52.9375,truck
BMW,650,386.3913043,1530,50.875,car
BMW,550,384.7186147,849,50.875,car
BMW,650,384.7186147,827,50.875,car
BMW,550,391.4977974,38,50.875,car
BMW,650,391.4977974,35,50.875,car
BMW,650,419.1981132,28,50.875,car
BMW,750,409.5391705,5441,56.375,car
BMW,750,402.1266968,2172,54.08333333,car
BMW,X6,477.7956989,1794,52.9375,truck
BMW,X5,389.7807018,15961,52.9375,truck
BMW,X3,349.8818898,5368,50.41666667,truck
BMW,335,334.0977444,4695,49.04166667,car
BMW,335,334.0977444,4692,49.04166667,car
BMW,335,334.0977444,3407,49.04166667,car
BMW,X5,312.9225352,2741,52.9375,truck
BMW,X6,413.3488372,2567,52.9375,truck
BMW,335,347.1484375,2482,49.04166667,car
BMW,335,347.1484375,2108,49.04166667,car
BMW,Z4,311.8245614,1410,44.91666667,car
BMW,Z4,347.1484375,1405,44.91666667,car
BMW,335,246.8611111,1104,49.04166667,car
BMW,335,354.063745,819,49.04166667,car
BMW,Z4,312.9225352,616,44.91666667,car
BMW,335,344.4573643,593,49.04166667,car
BMW,335,354.063745,580,49.04166667,car
BMW,335,344.4573643,506,49.04166667,car
BMW,335,331.6044776,408,49.04166667,car
BMW,Z4,326.7279412,206,44.91666667,car
BMW,X3,352.6587302,80,50.41666667,truck
BMW,MINI COOPER,230.2331606,11049,48.58333333,car
BMW,MINI COOPER,252.4715909,8283,48.58333333,car
BMW,MINI COOPER,230.2331606,6266,48.58333333,car
BMW,MINI COOPER,210.0945626,5635,48.58333333,car
BMW,MINI COOPER,233.2545932,4240,48.58333333,car
BMW,MINI COOPER,252.4715909,3863,48.58333333,car
BMW,MINI COOPER,230.2331606,2477,48.58333333,car
BMW,MINI COOPER,212.6076555,2261,48.58333333,car
