footprint,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
35,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
35.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
36,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
36.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
37,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
37.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
38,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
38.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
39,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
39.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
40,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
40.5,294,284,275,261,247,238.1,226.8,219.5,211.9,195.4,185.7,176.4,167.6,159.1
41,294.24,284.34,275.04,261,247,238.1,226.8,219.58,211.97,195.4,185.7,176.4,167.6,159.28
41.5,296.26,286.36,277.06,262.76,248.76,240.405,229.14,221.92,214.255,197.42,187.535,178.265,169.41,161.07
42,298.28,288.38,279.08,264.78,250.78,242.84,231.52,224.26,216.54,199.56,189.58,180.22,171.28,162.86
42.5,300.3,290.4,281.1,266.8,252.8,245.275,233.9,226.6,218.825,201.7,191.625,182.175,173.15,164.65
43,302.32,292.42,283.12,268.82,254.82,247.71,236.28,228.94,221.11,203.84,193.67,184.13,175.02,166.44
43.5,304.34,294.44,285.14,270.84,256.84,250.145,238.66,231.28,223.395,205.98,195.715,186.085,176.89,168.23
44,306.36,296.46,287.16,272.86,258.86,252.58,241.04,233.62,225.68,208.12,197.76,188.04,178.76,170.02
44.5,308.38,298.48,289.18,274.88,260.88,255.015,243.42,235.96,227.965,210.26,199.805,189.995,180.63,171.81
45,310.4,300.5,291.2,276.9,262.9,257.45,245.8,238.3,230.25,212.4,201.85,191.95,182.5,173.6
45.5,312.42,302.52,293.22,278.92,264.92,259.885,248.18,240.64,232.535,214.54,203.895,193.905,184.37,175.39
46,314.44,304.54,295.24,280.94,266.94,262.32,250.56,242.98,234.82,216.68,205.94,195.86,186.24,177.18
46.5,316.46,306.56,297.26,282.96,268.96,264.755,252.94,245.32,237.105,218.82,207.985,197.815,188.11,178.97
47,318.48,308.58,299.28,284.98,270.98,267.19,255.32,247.66,239.39,220.96,210.03,199.77,189.98,180.76
47.5,320.5,310.6,301.3,287,273,269.625,257.7,250,241.675,223.1,212.075,201.725,191.85,182.55
48,322.52,312.62,303.32,289.02,275.02,272.06,260.08,252.34,243.96,225.24,214.12,203.68,193.72,184.34
48.5,324.54,314.64,305.34,291.04,277.04,274.495,262.46,254.68,246.245,227.38,216.165,205.635,195.59,186.13
49,326.56,316.66,307.36,293.06,279.06,276.93,264.84,257.02,248.53,229.52,218.21,207.59,197.46,187.92
49.5,328.58,318.68,309.38,295.08,281.08,279.365,267.22,259.36,250.815,231.66,220.255,209.545,199.33,189.71
50,330.6,320.7,311.4,297.1,283.1,281.8,269.6,261.7,253.1,233.8,222.3,211.5,201.2,191.5
50.5,332.62,322.72,313.42,299.12,285.12,284.235,271.98,264.04,255.385,235.94,224.345,213.455,203.07,193.29
51,334.64,324.74,315.44,301.14,287.14,286.54,274.36,266.38,257.67,238.08,226.39,215.41,204.94,195.08
51.5,336.66,326.76,317.46,303.16,289.16,288.56,276.74,268.72,259.955,240.22,228.435,217.365,206.81,196.87
52,338.68,328.78,319.48,305.18,291.18,290.58,279.12,271.06,262.24,242.36,230.48,219.32,208.68,198.66
52.5,340.7,330.8,321.5,307.2,293.2,292.6,281.5,273.4,264.525,244.5,232.525,221.275,210.55,200.45
53,342.72,332.82,323.52,309.22,295.22,294.62,283.88,275.74,266.81,246.64,234.57,223.23,212.42,202.24
53.5,344.74,334.84,325.54,311.24,297.24,296.64,286.26,278.08,269.095,248.78,236.615,225.185,214.29,204.03
54,346.76,336.86,327.56,313.26,299.26,298.66,288.64,280.42,271.38,250.92,238.66,227.14,216.16,205.82
54.5,348.78,338.88,329.58,315.28,301.28,300.68,291.02,282.76,273.665,253.06,240.705,229.095,218.03,207.61
55,350.8,340.9,331.6,317.3,303.3,302.7,293.4,285.1,275.95,255.2,242.75,231.05,219.9,209.4
55.5,352.82,342.92,333.62,319.32,305.32,304.72,295.78,287.44,278.235,257.34,244.795,233.005,221.77,211.19
56,354.84,344.94,335.64,321.34,307.34,306.74,298.16,289.78,280.52,259.48,246.84,234.96,223.64,212.98
